Name,Created,Tags
Capture d’écran 2023-07-25 à 18.26.48,"July 26, 2023 2:41 PM",
Capture d’écran 2023-07-25 à 18.20.59,"July 26, 2023 2:47 PM",
tumblr_99246459655a1f4126b6c5d835aad287_3637c82c_1280,"July 26, 2023 2:46 PM",
Capture d’écran 2023-07-25 à 18.13.03,"July 26, 2023 2:46 PM",
Capture d’écran 2023-07-25 à 18.20.59,"July 26, 2023 2:46 PM",
Study_of_Red_Pope_1962._2nd_version_1971,"July 26, 2023 2:45 PM",
Capture d’écran 2023-07-25 à 18.30.19,"July 26, 2023 2:41 PM",
"Study_for_a_Self-portrait—Triptych,_1985–86","July 26, 2023 2:45 PM",
Capture d’écran 2023-07-25 à 18.32.31,"July 26, 2023 2:41 PM",
Capture d’écran 2023-07-25 à 19.00.24,"July 26, 2023 2:41 PM",
