Name,Created,Tags
150504-texas-garland-attack-440p (1),"September 12, 2023 11:36 AM",
Capture d’écran 2023-09-12 à 11.55.19,"September 12, 2023 11:55 AM",
635664729401835829-0505-garland-shootfolo01_1834900_ver1.0,"September 12, 2023 11:50 AM",
10encrypt-superJumbo,"September 12, 2023 11:42 AM",
2015-05-04t190937z-1057156228-tm3eb5415ms01-rtrmadp-3-usa-shooting-texas,"September 12, 2023 11:42 AM",
150503231305-garland-texas-shooting-interiors,"September 12, 2023 11:42 AM",
635662872197388737-EPA-USA-GEERT-WILDERS-KEYNOTE,"September 12, 2023 11:42 AM",
hqdefault,"September 12, 2023 11:42 AM",
18426302_6,"September 12, 2023 11:42 AM",
2015-05-04t190937z-1057156228-tm3eb5415ms01-rtrmadp-3-usa-shooting-texas,"September 12, 2023 11:38 AM",
10encrypt-superJumbo,"September 12, 2023 11:38 AM",
original,"September 12, 2023 11:38 AM",
ap848519253546_custom-4763fdc10af273f931c6b31e474120ee6e9307b3,"September 12, 2023 11:37 AM",
Garland-superJumbo,"September 12, 2023 11:37 AM",
