Name,Created,Tags
Car Setup 1 Angle 2,"August 26, 2023 3:20 PM","Night, Position 1"
Car Setup 1 Angle 3,"August 26, 2023 3:20 PM","Night, Position 1"
Car Setup 1 Angle 3 zoom,"September 10, 2023 10:34 PM","Night, Position 1"
Car Setup 1 position du corps,"September 10, 2023 10:34 PM","Night, Position 1"
Car Setup 1,"August 26, 2023 3:20 PM","Night, Position 1"
Car Setup 2 - lendemain,"August 26, 2023 3:20 PM","Day, Position 2"
Car Setup 2 - lendemain - FBI,"August 26, 2023 3:23 PM","Day, Position 2"
Car Setup 2 - lendemain2,"August 26, 2023 3:23 PM","Day, Position 2"
,"September 10, 2023 10:34 PM","Day, Position 2"
police1,"September 10, 2023 10:34 PM","Day, Forensics"
police2,"September 10, 2023 10:34 PM","Day, Forensics"
police3,"September 10, 2023 10:34 PM","Day, Forensics"
