Nom,Tags,Date
Can you help me find a publisher if I provide you with links to all of the Australian jihadists I know of who have active Twitter accounts?,MoonMetropolis,"May 26, 2015"
A single link?,Mac Mahon,"May 26, 2015"
"Are they “real” jihadists, or is that not my concern?",Mac Mahon,"May 26, 2015"
And yes.,Mac Mahon,"May 26, 2015"
I can,Mac Mahon,"May 26, 2015"
What would be their interest?,Mac Mahon,"May 26, 2015"
Like as a yellow pages? A-Z of camel jockeys,Mac Mahon,"May 26, 2015"
"I have links to numerous accounts of real ISIS  jihadists who live in Australia or used to live in Australia before going to Syria
It’s obvious why a journalist would be interested in following them",MoonMetropolis,"May 26, 2015"
"You waste a lot of time on the Internet, just like me.",Mac Mahon,"May 26, 2015"
"I am on the Internet literally almost every single waking moment. I’m not exaggerating. I get up, get on the Internet for hours, then sleep.
Only very occasionally do I leave the Internet to go see a movie or (…)",MoonMetropolis,"May 26, 2015"
Nothing.,Mac Mahon,"May 26, 2015"
You’ve been trolling for a long time eh.,Mac Mahon,"May 26, 2015"
"Trollin ain’t easy, but somebody’s gotta do it.",MoonMetropolis,"May 26, 2015"
Yeah…,Mac Mahon,"May 26, 2015"
"Why are you a vegetarian?
Do you love cute animals?",Mac Mahon,"May 28, 2015"
Or for health reasons?,Mac Mahon,"May 28, 2015"
For the animals.,MoonMetropolis,"May 28, 2015"
"I can understand environmental arguments.
Really? You have an affection for the animals?",Mac Mahon,"May 28, 2015"
Yes.,MoonMetropolis,"May 28, 2015"
How curious.,Mac Mahon,"May 28, 2015"
"Have you ever had contact with any journalist from Fairfax Media? http://theage.com.au/?
I’m not asking because I’ve been employed by them. In fact, I doubt I’ll ever will get any jobs from them after my efforts.",Mac Mahon,"May 29, 2015"
"Well, yeah. Fairfax printed some of the bullshit I fed them. Remember?",MoonMetropolis,"May 29, 2015"
"I do recall them writing about a witness - yeah. But did they ever actually have direct contact with you?
Or the bullshit you I should say..?",Mac Mahon,"May 29, 2015"
I talked to a few journalists using this account. I’m not sure which ones were Fairfax.,MoonMetropolis,"May 29, 2015"
"This account? Or AustraliWitness…
I’m trying to work out why this guy is lying to me…
Claiming credit for shit…",Mac Mahon,"May 29, 2015"
"This account. The jihadist account talked to journalists too, though.",MoonMetropolis,"May 29, 2015"
"Hey, can you get any Australian media outlets to report on this? washingtontimes.com/news/2015/may/…",MoonMetropolis,"May 29, 2015"
"Make sure they include the part where the local Islamic leader says this :
“Everybody has a right to be a bigot. Everybody has a right to be a racist. Everybody has a right to be an idiot.”
Australians would be absolutely stunned by a minority person saying that.",MoonMetropolis,"May 29, 2015"
"Here’s another link : http://12news.com/story/news/cc%E2%80%A6And
And the video where he says that : http://nbcnews.com/watch/nbc-news%E2%80%A6",MoonMetropolis,"May 29, 2015"
"I’m not sure I can get anyone to pick up on it…
The Australian might.",,"May 29, 2015"
"Yes, they probably would. See if you can get them to report on it, with the local Islamic leader’s comments and all.",MoonMetropolis,"May 29, 2015"
"It’s tomorrow?
Or today?",Mac Mahon,"May 29, 2015"
Today.,,"May 29, 2015"
It will only be postfacto reporting then,,"May 29, 2015"
