Name,person,notes,Date,Created by,Created time,Last edited time,Last edited by,Person,URL
Conversation entre AustraliWitness et deux Djihadistes : Butayn et abUqba,Event,Il manque certains messages donc on a pas les réponses d’abUqba (ce qui peut être confus),"August 10, 2015 1:30 AM",Quentin Sombsthay,"September 11, 2023 12:30 PM","September 11, 2023 3:25 PM",Quentin Sombsthay,,https://www.courtlistener.com/docket/6259243/100/15/united-states-v-goldberg/
" Salaam, akhi. This is Australi Witness. I need your help with
something, brother.",Australi Witness,,"August 10, 2015 1:30 AM",Quentin Sombsthay,"September 11, 2023 1:05 PM","September 11, 2023 3:30 PM",Quentin Sombsthay,,
"Thank you, brother. For the past several months, I have been
coordinating an act of jihad with a mujahid who lives in Melbourne.
He sold bis car to buy a gun, but be basn't carried out the attack yet because he wants to make a video message to the kuffar with a black shahada flag, and he also wants his friend to participate in the attack with him. However, I haven't heard anything from him since July 24th. I have tried messaging him on Surespot, DMing him on Twitter, and emailing him, but he won't respond. I am very worried that he may have been captured by the kuffar. What should l do, akhi?",Australi Witness,,"August 10, 2015 4:12 AM",Quentin Sombsthay,"September 11, 2023 2:11 PM","September 11, 2023 3:30 PM",Quentin Sombsthay,,
"Brother, are you still there? Did you receive my message?",Australi Witness,,"August 12, 2015 2:02 AM",Quentin Sombsthay,"September 11, 2023 2:13 PM","September 11, 2023 3:30 PM",Quentin Sombsthay,,
Yes I received it and the best thing I can tell you to do is be patient,Butayn,,"August 12, 2015 3:09 AM",Quentin Sombsthay,"September 11, 2023 2:13 PM","September 11, 2023 3:30 PM",Quentin Sombsthay,,
"Well, the thing is, I am very afraid that something may have happened to him. He seems to have completely disappeared. We were very close to carrying out this attack, but now he's gone and I cannot contact him.",Australi Witness,,"August 12, 2015 3:20 AM",Quentin Sombsthay,"September 11, 2023 2:19 PM","September 11, 2023 3:30 PM",Quentin Sombsthay,,
I don't know how to help you akhi,Butayn,,"August 12, 2015 3:20 AM",Quentin Sombsthay,"September 11, 2023 2:19 PM","September 11, 2023 3:30 PM",Quentin Sombsthay,,
If he's been caught then we must ask Allah to free him,Butayn,,"August 12, 2015 3:20 AM",Quentin Sombsthay,"September 11, 2023 2:19 PM","September 11, 2023 3:30 PM",Quentin Sombsthay,,
" If the kuffar captured him, it would be ail over the news, wouldn't it?",Australi Witness,,"August 12, 2015 3:27 AM",Quentin Sombsthay,"September 11, 2023 2:19 PM","September 11, 2023 3:30 PM",Quentin Sombsthay,,
Y es I think so,Butayn,,"August 12, 2015 3:36 AM",Quentin Sombsthay,"September 11, 2023 2:19 PM","September 11, 2023 3:30 PM",Quentin Sombsthay,,
"Akhi, I need instructions on how to make pressure cooker bombs. Do you know where I can find any?","Australi Witness, gold",GOLD (Mona),"August 20, 2015 8:09 AM",Quentin Sombsthay,"September 11, 2023 2:19 PM","September 11, 2023 3:30 PM",Quentin Sombsthay,,
"Salaam, akhi. What's up?","Australi Witness, abUqba",,"August 24, 2015 1:01 PM",Quentin Sombsthay,"September 11, 2023 2:19 PM","September 11, 2023 2:40 PM",Quentin Sombsthay,,
"Who asked about me, brother?","Australi Witness, abUqba",,"August 24, 2015 10:16 AM",Quentin Sombsthay,"September 11, 2023 2:19 PM","September 11, 2023 2:41 PM",Quentin Sombsthay,,
"Akhi, can you tell greenbirddawlah that l'm a trusted mujahid? He
keeps doubting my validity, so he’s asking other mujahideen about me.","Australi Witness, abUqba, gold",GOLD (Mona),"August 25, 2015 5:58 AM",Quentin Sombsthay,"September 11, 2023 2:19 PM","September 11, 2023 3:03 PM",Quentin Sombsthay,,
An Australian brother. He said he asked you about me.,"Australi Witness, abUqba",,"August 25, 2015 6:30 AM",Quentin Sombsthay,"September 11, 2023 2:37 PM","September 11, 2023 2:48 PM",Quentin Sombsthay,,
"Are you sure, akhi?","Australi Witness, abUqba",,"August 25, 2015 8:12 AM",Quentin Sombsthay,"September 11, 2023 2:38 PM","September 11, 2023 2:48 PM",Quentin Sombsthay,,
"You were right, brother. He's accusing me of being a liar pretending to be a mujahid. I think he is trying to sabotage me.","Australi Witness, abUqba, gold",GOLD (Mona),"August 27, 2015 2:08 AM",Quentin Sombsthay,"September 11, 2023 2:20 PM","September 11, 2023 3:03 PM",Quentin Sombsthay,,
You know I don't trust you right?,"Butayn, gold",GOLD (Mona),"August 30, 2015 3:59 AM",Quentin Sombsthay,"September 11, 2023 2:20 PM","September 11, 2023 3:30 PM",Quentin Sombsthay,,
Why do you not trust me?,"Australi Witness, abUqba, gold",GOLD (Mona),"August 30, 2015 4:27 AM",Quentin Sombsthay,"September 11, 2023 2:20 PM","September 11, 2023 3:03 PM",Quentin Sombsthay,,
