Name,Date,Personne,SORTING,notes,tags
"Attaque à Charlie Hebdo, à Paris","January 7, 2015",,STORY,,
UCE-1 contacte Hendricks,"March 24, 2015",,STORY,"sur le Twitter @'shan't_reason”8, qui est le même compte a avoir contacté CW-1 le lendemain.
Hendricks le teste avec des questions sur l’islam pour vérifier sa fiabilité. UCE-1 lui affirme avoir converti à l’islam il y a 2 ans.","Hendricks, UCE-1, conversation"
CW-1 recruté par Hendricks,"March 25, 2015",,STORY,,CW-1
UCE-1 recontacté par Hendricks sur un autre compte,"April 8, 2015",,STORY,"Ils discutent, Hendricks décrit comment vivre “off the grid” et parle de ses armes à feu. Il demande à UCE-1 de contacter un autre compte, sans jamais révéler l’identité de Hendricks","Hendricks, UCE-1, conversation"
UCE-1 et Hendricks discutent de la Hijra (l’exil) sur le sol américain,"April 19, 2015 → April 19, 2015",,STORY,"UCE-1 indique qu’il pense quitter les US, mais Hendricks lui indique qu’il est en trai de bâtir une organisation similaire mais qu’il a besoin d’aide sur le territoire américain","Hendricks, UCE-1"
Discussion UCE-1 - Simpson,"April 23, 2015 → April 24, 2015",,STORY,,
Simpson et UCE-1 entrent en conta,"April 23, 2015 → April 23, 2015",,STORY,"Simultanément à la discussion entre Hendricks et UCE-1, ce dernier discute avec Simpson. Ils se vérifient l’un l’autre, sont d’abord méfiants.","Simpson, UCE-1"
Hendricks met en contact UCE-1 et Simpson,"April 23, 2015 → April 23, 2015",,STORY,"Il lui demande de le vérifier, sans lui demander de détails sur ses projet.","Hendricks, Simpson, UCE-1"
Simpson poste le lien du concours decaricatures à Garland sur Twitter,"April 23, 2015",,STORY,,Simpson
Simpson et UCE-1 poursuivent leur discussio,"April 24, 2015 → April 24, 2015",,STORY,"Simpson révèle quelques informations sur sa vie, notamment son arrestation, et sa précédente association avec une personne qui s’est révélée être un indicateur du FBI (Dabla Deng)","Simpson, UCE-1"
Hendricks et UCE-1 communiquent au sujet du concours de caricature,"May 1, 2015 → May 1, 2015",,STORY,"Hendricks affirme qu’il n’avait pas connaissance du concours avant ce jour, alors que UCE-1 dit que Simpson avait été contacté par Hendricks le 23 avril après avoir posté le lien du concours sur Twitter.","Hendricks, UCE-1"
UCE - 1 et Hendrix,"May 2, 2015 7:55 AM → 9:00 AM",,STORY,,"Hendricks, UCE-1"
Hendricks et UCE-1 communiquent au sujet de l’attentat,"May 3, 2015 → May 3, 2015",,STORY,"UCE-1 s’est rendu sur place, et Hendricks le questionne sur la sécurité du lieu, ses armes, etc.","Hendricks, UCE-1, conversation"
Attentat au Curtis Culwell Center,"May 3, 2015",,STORY,,"Simpson, UCE-1"
Perquisition au domicile de Simpson et Soofi,"May 4, 2015",,STORY,Sur le téléphone de Simpson des applications sont trouvées avec lesquelles il a pu être en contact avec Hendricks,Simpson
Hendricks publie un document concernant l’attaque à Garland,"May 5, 2015 → May 5, 2015",,STORY,"D’abord:
https://web.archive.org/web/20150519065423/http://justpaste.it/Anonymous90
Puis
https://web.archive.org/web/20170213024134/https://justpaste.it/anonymous13
qui rajoute la mention de Simpson et de UCE-1.
Il envoie ce document à CHS-4.",Hendricks
Hendricks communique avec UCE-1 à la suite de l’attentat,"May 6, 2015 → May 6, 2015",,STORY,"Il croyait que UCE-1 était mort, puisqu’il ignorait la présence de Nadir Soofi.","Hendricks, UCE-1"
