Name,Identité & username,Date,OBSERVATION CAMILLE,INVENTION,Procès,Created by,Last edited by,Created time,Last edited time
Where are you akhi ?,"Hendricks, accepted","May 3, 2015 5:02 PM",INVENTION DE DIALOGUE,/,"So I announced that I arrived -- well, that I was
traveling to Garland, Texas and that I got there. You know,
he wanted to know -- he asked a couple times about where I
physically was at.",Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 14, 2023 5:44 PM"
???,"Hendricks, accepted","May 3, 2015 5:18 PM",INVENTION DE DIALOGUE,/,,Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
I’m there,"Goldenera, UCE-1","May 3, 2015 5:19 PM",INVENTION DE DIALOGUE,/,,Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
"By the way, I couldn't find the Arizona brother","Goldenera, UCE-1","May 3, 2015 5:19 PM",DIALOGUE REEL,,"I said, ""By the way, I couldn't find the Arizona brother.”",Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 14, 2023 5:09 PM"
u can buy a ticket to get in and get good close up,"Hendricks, accepted","May 3, 2015 5:20 PM",INVENTION DE DIALOGUE,/,"He told me to buy a ticket and get pictures, ",Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 15, 2023 12:38 PM"
or u stay outside and lay low,"Hendricks, accepted","May 3, 2015 5:20 PM",INVENTION DE DIALOGUE,/,or he said I could maintain distance and just observe.,Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 15, 2023 12:42 PM"
"and if u see that pig Pam, make your “voice” heard.","Hendricks, accepted","May 3, 2015 5:20 PM","DIALOGUE REEL, GOLD",,"And if I were to ""See that pig Pam, to make my voice
heard against her."" And, of course, ""voice"" is in quotation
marks. And when he said, ""That pig Pam,"" he was referring
to Pamela Geller.",Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 14, 2023 5:34 PM"
"will definitely tell her how I feel ","UCE-1, accepted","May 3, 2015 5:20 PM",INVENTION DE DIALOGUE,/,,Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 14, 2023 5:34 PM"
,event,,PAUSE,,,Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
"You are my eyes Aki. U see any feds ? ","Hendricks, accepted","May 3, 2015 6:03 PM",INVENTION DE DIALOGUE,/,"He wanted to know about the security posture
there, particularly how many police officers, security
officers were there, ",Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 14, 2023 5:35 PM"
Is it crowded outside ?,"Hendricks, accepted","May 3, 2015 6:03 PM",INVENTION DE DIALOGUE,/,"how big it was, how many people were present.",Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
"Almost nobody outside yet, except a few cops on the front and no Muslim protester","Goldenera, UCE-1","May 3, 2015 6:03 PM",INVENTION DE DIALOGUE,/,"what I intended when I said ""no
Muslim protester,"" conventional protesters that were holding
signs, etcetera.",Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
,event,,PAUSE,,,Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
What the convention center look like ? Is it made of wood ?,"Hendricks, accepted","May 3, 2015 6:11 PM",INVENTION DE DIALOGUE,/,"Q. Did he ask about the building itself?
A. Yeah, he wanted to know how big it was and whether or
not it was made of wood.",Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
"From where I sit, seems mostly made of glass. Two exits","UCE-1, accepted","May 3, 2015 6:12 PM",INVENTION DE DIALOGUE,/,,Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 14, 2023 5:35 PM"
"Take a good look around bro, look a the roof and spot for snipers and for pigs hiding? ","Hendricks, accepted","May 3, 2015 6:12 PM",INVENTION DE DIALOGUE,/,"He wanted to know if I observed feds there, who I
believe would be federal law enforcement officers. And he
told me to look very closely. And he asked me if I saw any
snipers.",Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 14, 2023 6:41 PM"
"No snipers, no dogs, just small town cops directing traffic. ","Goldenera, UCE-1","May 3, 2015 6:16 PM",DIALOGUE REEL,,"A. Well, I gave him misinformation to provide law
enforcement with a tactical advantage in the event that a
violent activity did happen.
So I told him ""No snipers, no dogs, just small town
cops directing traffic. And no feds,"" although the FBI did
have a large presence there.",Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
,event,,PAUSE,,,Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
Parked my car in the lot of an hotel just across the street,"Goldenera, UCE-1","May 3, 2015 6:20 PM",INVENTION DE DIALOGUE,,"So I told him that I was positioned near a hotel
across the street from the event.",Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 15, 2023 10:35 AM"
Can you use the hotel to overlook the place?,"Hendricks, accepted","May 3, 2015 6:21 PM",INVENTION DE DIALOGUE,,"And so he was asking me if I could basically use, you
know, the hotel as a place to have a vantage point for
observation.",Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 15, 2023 10:14 AM"
Like can you get on the roof or smthg like that,"Hendricks, accepted","May 3, 2015 6:21 PM",INVENTION DE DIALOGUE,/,,Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 15, 2023 10:12 AM"
What u got with u?,"Hendricks, accepted","May 3, 2015 6:21 PM","DIALOGUE REEL, GOLD",,"Then he said, ""What you got with you.""
And so I understood this question that he was asking,
what did I physically have with me. And I inferred that he
was asking me what kind of weapon did I have with me.",Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 15, 2023 10:12 AM"
Tools of the trade.,"Goldenera, UCE-1","May 3, 2015 6:21 PM","DIALOGUE REEL, GOLD",," I said simply ""Tools of the trade.""",Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 15, 2023 10:17 AM"
LOL,"Hendricks, accepted","May 3, 2015 6:21 PM","DIALOGUE REEL, GOLD",,"Then he said ""LOL,"" and then to offer some
clarification and what I physically had with me,",Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
Not a small hand tool,"Goldenera, UCE-1","May 3, 2015 6:21 PM","DIALOGUE REEL, GOLD",,,Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
The people doing the drawing and hosting and observing are the ones that needed to protest against.,"Hendricks, accepted","May 3, 2015 6:22 PM","DIALOGUE REEL, GOLD",,". So he said that ""The people doing the drawing and
hosting and observing are the ones that needed to protest
against."" Meaning, he thought that they should be the
target of the protest.",Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 15, 2023 10:31 AM"
