Nom,person,Notes,"Date ",Heure Australie,Réseau,URL,Créée par,Date de création,Dernière modification,Dernière modification par
Discussion Twitter entre Australi Witness et mohamadmo7,Event,LES DATES ET HEURES DE LA DISCUSSION TWITTER SONT DES ESTIMATIONS.,"July 31, 2015 7:00 PM → August 10, 2015 7:00 PM",,TWITTER,https://www.courtlistener.com/docket/6259243/100/1/united-states-v-goldberg/,Mona,"September 11, 2023 3:10 PM","September 12, 2023 6:30 PM",Mona
good to see you back on here brother! the kuffar wouldn’t have a clue! :P,"AFP Federal Agent as mohamadmo7, GOLD MONA",LES DATES ET HEURES DE LA DISCUSSION TWITTER SONT DES ESTIMATIONS.,"June 5, 2015 7:00 PM",,TWITTER,https://www.courtlistener.com/docket/6259243/100/1/united-states-v-goldberg/,Mona,"September 11, 2023 3:01 PM","September 12, 2023 10:38 AM",Mona
"lndeed, brother. The kuffar have no ldea about this account. They are powerless to stop me.","AusWitness, GOLD MONA",LES DATES ET HEURES DE LA DISCUSSION TWITTER SONT DES ESTIMATIONS.,"June 5, 2015 7:01 PM",,TWITTER,https://www.courtlistener.com/docket/6259243/100/1/united-states-v-goldberg/,Mona,"September 11, 2023 3:01 PM","September 12, 2023 6:59 PM",Mona
for me your posts were quite interesting. my parents moved to Australia before i was born and adopted the western way. i hate them for this.,"AFP Federal Agent as mohamadmo7, GOLD MONA",LES DATES ET HEURES DE LA DISCUSSION TWITTER SONT DES ESTIMATIONS.,"June 5, 2015 7:03 PM",,TWITTER,https://www.courtlistener.com/docket/6259243/100/1/united-states-v-goldberg/,Mona,"September 11, 2023 3:01 PM","September 12, 2023 6:59 PM",Mona
"Yes, my parents are coconuts as well. They would be very angry if they knew I was a mujahid, as
they support the Western kaflr governments.","AusWitness, GOLD MONA",LES DATES ET HEURES DE LA DISCUSSION TWITTER SONT DES ESTIMATIONS.,"June 5, 2015 7:04 PM",,TWITTER,https://www.courtlistener.com/docket/6259243/100/1/united-states-v-goldberg/,Mona,"September 11, 2023 3:11 PM","September 12, 2023 6:59 PM",Mona
"i like the coconut reference brother! my parents are from Egypt and forced me to grow up on a western kafir lifestyle!
I have to learn islam on my own!
but same with me, they don’t know how i feel and would kill me. any help is appreciated brother =)","AFP Federal Agent as mohamadmo7, GOLD MONA",LES DATES ET HEURES DE LA DISCUSSION TWITTER SONT DES ESTIMATIONS.,"June 5, 2015 7:06 PM",,TWITTER,https://www.courtlistener.com/docket/6259243/100/1/united-states-v-goldberg/,Mona,"September 11, 2023 3:15 PM","September 13, 2023 2:17 AM",William Menguy
"I grew up the same way, brother. My parents are frorn Lebanon, and they raised me to be a kafir. I had to learn real Islam on my own.","AusWitness, GOLD MONA",LES DATES ET HEURES DE LA DISCUSSION TWITTER SONT DES ESTIMATIONS.,"June 5, 2015 7:07 PM",,TWITTER,https://www.courtlistener.com/docket/6259243/100/1/united-states-v-goldberg/,Mona,"September 11, 2023 3:15 PM","September 12, 2023 6:59 PM",Mona
"Is there anything I can help you with, brother? l live in Perth.","AusWitness, GOLD MONA",LES DATES ET HEURES DE LA DISCUSSION TWITTER SONT DES ESTIMATIONS.,"June 5, 2015 7:08 PM",,TWITTER,https://www.courtlistener.com/docket/6259243/100/1/united-states-v-goldberg/,Mona,"September 11, 2023 3:15 PM","September 12, 2023 6:59 PM",Mona
"exactly the same way. i have grown up with western kafir brainwash and i can see this now as i get
older, i guess for me I want to reclaim my Islamic heritage which was stolen from me you know?","AFP Federal Agent as mohamadmo7, GOLD MONA",LES DATES ET HEURES DE LA DISCUSSION TWITTER SONT DES ESTIMATIONS.,"June 5, 2015 7:09 PM",,TWITTER,https://www.courtlistener.com/docket/6259243/100/1/united-states-v-goldberg/,Mona,"September 11, 2023 3:19 PM","September 12, 2023 6:59 PM",Mona
"any good sites to read etc?
im in Melbourne by the way","AFP Federal Agent as mohamadmo7, GOLD MONA",LES DATES ET HEURES DE LA DISCUSSION TWITTER SONT DES ESTIMATIONS.,"June 5, 2015 7:10 PM",,TWITTER,https://www.courtlistener.com/docket/6259243/100/1/united-states-v-goldberg/,Mona,"September 11, 2023 3:21 PM","September 12, 2023 6:59 PM",Mona
