Name,person,Date,Notes,Created by,OBSERVATION CAMILLE,Created time,Last edited by
Aleykum salam,"@LionofTawheed, UCE-1","April 8, 2015 10:36 AM",greetings,William Menguy,,"September 10, 2023 11:10 AM",William Menguy
Salam akhi,"@lovethehaqq, Hendricks","April 8, 2015 10:36 AM",reciprocation of greetings,William Menguy,,"September 10, 2023 11:10 AM",William Menguy
Still using the same account,"@lovethehaqq, Hendricks","April 8, 2015 10:37 AM",reprimanding UCE for lax security,William Menguy,GOLD,"September 10, 2023 11:11 AM",Camille Reysset
"My brother, you need to be more careful","@lovethehaqq, Hendricks","April 8, 2015 10:37 AM",,William Menguy,GOLD,"September 10, 2023 11:39 AM",Camille Reysset
"I never link my Ss with Twitter, stay untraceable","@LionofTawheed, UCE-1","April 8, 2015 10:37 AM",,William Menguy,,"September 10, 2023 11:39 AM",William Menguy
so we’ve talked b4?,"@LionofTawheed, UCE-1","April 8, 2015 10:37 AM",,William Menguy,,"September 10, 2023 11:11 AM",William Menguy
Hey ive been using the same account for too long,"@lovethehaqq, Hendricks","April 8, 2015 10:38 AM",,William Menguy,,"September 10, 2023 11:40 AM",William Menguy
"you need to change accounts too, never keep it more than a week","@lovethehaqq, Hendricks","April 8, 2015 10:38 AM",,William Menguy,GOLD,"September 10, 2023 11:41 AM",Camille Reysset
I choose my contacts carefully,"@LionofTawheed, UCE-1","April 8, 2015 10:37 AM",,William Menguy,,"September 10, 2023 11:45 AM",William Menguy
"Good naseeha ","@LionofTawheed, UCE-1","April 8, 2015 10:38 AM",naseeha - advice,William Menguy,GOLD,"September 10, 2023 11:41 AM",Camille Reysset
ok wait 1 sec,"@LionofTawheed, UCE-1","April 8, 2015 10:38 AM",,William Menguy,,"September 10, 2023 11:41 AM",William Menguy
"UCE-1 creates a new Surespot account, @jundullah",Event,"April 8, 2015 10:39 AM",,William Menguy,,"September 10, 2023 11:43 AM",William Menguy
Aleykum salam,"@lovethehaqq, Hendricks","April 8, 2015 10:42 AM",,William Menguy,,"September 10, 2023 11:44 AM",William Menguy
salam aleykum,"@jundullah, UCE-1","April 8, 2015 10:42 AM",,William Menguy,,"September 10, 2023 11:44 AM",William Menguy
So you mix it up a lot,"@jundullah, UCE-1","April 8, 2015 10:41 AM",,William Menguy,GOLD,"September 10, 2023 11:40 AM",Camille Reysset
"When you do what I do, we have a lot of enemies to watch out for","@lovethehaqq, Hendricks","April 8, 2015 10:42 AM",,William Menguy,GOLD,"September 10, 2023 11:45 AM",Camille Reysset
Get into the habit of doing it,"@lovethehaqq, Hendricks","April 8, 2015 10:43 AM",,William Menguy,,"September 10, 2023 11:45 AM",William Menguy
only 2 years in the deen though?,"@lovethehaqq, Hendricks","April 8, 2015 10:44 AM",UCE-1 has been a muslim for 2 years,William Menguy,,"September 10, 2023 11:47 AM",William Menguy
yeah,"@jundullah, UCE-1","April 8, 2015 10:46 AM",,William Menguy,,"September 10, 2023 11:48 AM",William Menguy
How long for you akhi,"@jundullah, UCE-1","April 8, 2015 10:46 AM",,William Menguy,GOLD,"September 10, 2023 1:25 PM",Camille Reysset
over 20,"@lovethehaqq, Hendricks","April 8, 2015 10:50 AM",,William Menguy,GOLD,"September 10, 2023 1:24 PM",Camille Reysset
wow,"@jundullah, UCE-1","April 8, 2015 10:44 AM",,William Menguy,,"September 10, 2023 1:25 PM",William Menguy
it’s encouraging to hear brothers still striving after 20 years,"@jundullah, UCE-1","April 8, 2015 10:44 AM",,William Menguy,GOLD,"September 10, 2023 11:46 AM",Camille Reysset
do you know a mujahid in Ohio,"@lovethehaqq, Hendricks","April 8, 2015 10:47 AM",,William Menguy,,"September 10, 2023 11:48 AM",William Menguy
I don’t think so,"@jundullah, UCE-1","April 8, 2015 10:47 AM",,William Menguy,,"September 10, 2023 11:48 AM",William Menguy
